Key,Layer Type,Segment,Cost Type,Cost Object,Spend type,Market Segment,Internal Staff,External Staff,SW Depreciation,HW Depreciation,SW Maintenance,HW Maintenance,Leased Lines,Other IT Cost,Other OOE,Total
3739,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,Clearstream,0,-6,0,0,0,0,0,0,0,-6
3740,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,Commodities,0,-2,0,0,0,0,0,0,0,-2
3741,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,Data,0,-2,0,0,0,0,0,0,0,-2
3742,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,Eurex,0,-8,0,0,0,0,0,0,0,-8
3743,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,Foreign Exchange,0,-1,0,0,0,0,0,0,0,-1
3744,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,GSF,0,-1,0,0,0,0,0,0,0,-1
3745,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,IFS,0,-2,0,0,0,0,0,0,0,-2
3746,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,Index,0,-1,0,0,0,0,0,0,0,-1
3747,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,Result,0,-25,0,0,0,0,0,0,0,-25
3748,Direct,Clearing,0,PSP 0001/R6-02052   FX Settlement Maintenance,Run,Eurex,-161,-384,0,0,0,0,0,0,0,-546
3749,Direct,Clearing,0,PSP 0001/R6-02052   FX Settlement Maintenance,Run,Result,-161,-384,0,0,0,0,0,0,0,-546
3750,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/S4-02166   SAP non cap.,Change,Eurex,-6,0,0,0,0,0,0,0,0,-6
3751,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/S4-02166   SAP non cap.,Change,Result,-6,0,0,0,0,0,0,0,0,-6
3752,Direct,GSF,0,PSP 0066/M7-02156   LMS Decom Build & Test,Change,GSF,-3,0,0,0,0,0,0,0,0,-3
3753,Direct,GSF,0,PSP 0066/M7-02156   LMS Decom Build & Test,Change,Result,-3,0,0,0,0,0,0,0,0,-3
3754,Direct,GSF,0,PSP 5150/M7-02156   LMS Decom Build & Test,Change,GSF,-14,0,0,0,0,0,0,0,0,-14
3755,Direct,GSF,0,PSP 5150/M7-02156   LMS Decom Build & Test,Change,Result,-14,0,0,0,0,0,0,0,0,-14
3756,Direct,Energy,0,PSP 0001/N5-02084   M7TR - Service Quality,Run,Commodities,-9,0,0,0,0,0,0,0,0,-9
3757,Direct,Energy,0,PSP 0001/N5-02084   M7TR - Service Quality,Run,Result,-9,0,0,0,0,0,0,0,0,-9
3758,Direct,Energy,0,PSP 0066/N5-02084   M7TR - Service Quality,Run,Commodities,-2,0,0,0,0,0,0,0,0,-2
3759,Direct,Energy,0,PSP 0066/N5-02084   M7TR - Service Quality,Run,Result,-2,0,0,0,0,0,0,0,0,-2
3760,Direct,Energy,0,PSP 0001/A1-02230   Energy TechOps XProduct,Run,Commodities,-346,-9,0,0,0,0,0,0,0,-355
